department,total_earnings,_id
Boston Police Department,212059.71,433
Boston Police Department,153598.75,434
Boston Police Department,168434.73,435
Boston Police Department,153281.59,436
Boston Police Department,118788.97,437
Boston Police Department,136650.07,438
Boston Police Department,144494.03,439
Boston Police Department,202288.31,440
Boston Police Department,285779.26,441
Boston Police Department,132814.81,442
Boston Police Department,172389.34,443
Boston Police Department,277129.96,444
Boston Police Department,272009.03,445
Boston Police Department,232852.54,446
Boston Police Department,191153.97,447
Boston Police Department,186842.27,448
Boston Police Department,239074.94,449
Boston Police Department,213492.82,450
Boston Police Department,221880.28,451
Boston Police Department,157594.51,452
Boston Police Department,228085.39,453
Boston Police Department,149701.53,454
Boston Police Department,166349.21,455
Boston Police Department,234331.3,456
Boston Police Department,220185.0,457
Boston Police Department,142639.76,458
Boston Police Department,269104.33,459
Boston Police Department,118029.95,460
Boston Police Department,210001.76,461
Boston Police Department,192261.82,462
Boston Police Department,217018.35,463
Boston Police Department,171596.6,464
Boston Police Department,209918.55,465
Boston Police Department,184768.63,466
Boston Police Department,172835.28,467
Boston Police Department,121266.75,468
Boston Police Department,117628.77,469
Boston Police Department,190190.71,470
Boston Police Department,189286.38,471
Boston Police Department,146154.65,472
Boston Police Department,188228.1,473
Boston Police Department,256883.55,474
Boston Police Department,223592.95,475
Boston Police Department,191499.41,476
Boston Police Department,217669.57,477
Boston Police Department,146992.76,478
Boston Police Department,193702.01,479
Boston Police Department,120955.92,480
Boston Police Department,116755.43,481
Boston Police Department,220242.86,482
Boston Police Department,205940.33,483
Boston Police Department,123445.88,484
Boston Police Department,303596.43,485
Boston Police Department,153199.53,486
Boston Police Department,126638.64,487
Boston Police Department,206127.69,488
Boston Police Department,198648.76,489
Boston Police Department,153178.75,490
Boston Police Department,103086.19,491
Boston Police Department,231411.23,492
Boston Police Department,13199.91,493
Boston Police Department,197919.97,494
Boston Police Department,215697.97,495
Boston Police Department,165595.3,496
Boston Police Department,145944.16,497
Boston Police Department,141864.36,498
Boston Police Department,198176.74,499
Boston Police Department,213077.5,500
Boston Police Department,25686.0,501
Boston Police Department,198522.75,502
Boston Police Department,271572.17,503
Boston Police Department,221608.48,504
Boston Police Department,168590.39,505
Boston Police Department,167864.47,506
Boston Police Department,133609.34,507
Boston Police Department,182866.8,508
Boston Police Department,252071.53,509
Boston Police Department,159757.96,510
Boston Police Department,250269.44,511
Boston Police Department,277047.22,512
Boston Police Department,274542.08,513
Boston Police Department,145226.81,514
Boston Police Department,196670.36,515
Boston Police Department,170115.04,516
Boston Police Department,141882.13,517
Boston Police Department,140122.86,518
Boston Police Department,144148.94,519
Boston Police Department,224457.2,520
Boston Police Department,193762.96,521
Boston Police Department,184613.79,522
Boston Police Department,221090.25,523
Boston Police Department,208251.34,524
Boston Police Department,244343.07,525
Boston Police Department,185971.09,526
Boston Police Department,177061.38,527
Boston Police Department,142293.94,528
Boston Police Department,114475.85,529
Boston Police Department,266447.6,530
Boston Police Department,231953.54,531
Boston Police Department,128521.04,532
Boston Police Department,201009.42,533
Boston Police Department,160554.7,534
Boston Police Department,149538.23,535
Boston Police Department,163450.19,536
Boston Police Department,229598.21,537
Boston Police Department,220681.77,538
Boston Police Department,306893.43,539
Boston Police Department,162155.45,540
Boston Police Department,176833.8,541
Boston Police Department,154662.75,542
Boston Police Department,145790.33,543
Boston Police Department,208944.06,544
Boston Police Department,140164.23,545
Boston Police Department,154334.69,546
Boston Police Department,144077.69,547
Boston Police Department,185823.26,548
Boston Police Department,175610.35,549
Boston Police Department,147370.76,550
Boston Police Department,131796.75,551
Boston Police Department,223830.42,552
Boston Police Department,144225.12,553
Boston Police Department,116297.96,554
Boston Police Department,178500.05,555
Boston Police Department,130939.07,556
Boston Police Department,205938.11,557
Boston Police Department,229218.81,558
Boston Police Department,230848.53,559
Boston Police Department,165810.02,560
Boston Police Department,229600.75,561
Boston Police Department,216131.99,562
Boston Police Department,135608.95,563
Boston Police Department,245251.26,564
Boston Police Department,224400.17,565
Boston Police Department,176694.85,566
Boston Police Department,198822.34,567
Boston Police Department,155828.81,568
Boston Police Department,149215.42,569
Boston Police Department,277689.68,570
Boston Police Department,132185.04,571
Boston Police Department,158490.62,572
Boston Police Department,137207.36,573
Boston Police Department,162757.12,574
Boston Police Department,256656.81,575
Boston Police Department,207715.73,576
Boston Police Department,219586.91,577
Boston Police Department,250023.43,578
Boston Police Department,198188.58,579
Boston Police Department,225640.36,580
Boston Police Department,306048.72,581
Boston Police Department,237416.25,582
Boston Police Department,194995.24,583
Boston Police Department,168643.83,584
Boston Police Department,116066.95,585
Boston Police Department,217873.34,586
Boston Police Department,217973.52,587
Boston Police Department,187729.77,588
Boston Police Department,296750.73,589
Boston Police Department,155996.7,590
Boston Police Department,166143.09,591
Boston Police Department,303207.63,592
Boston Police Department,233285.61,593
